x dispe herbi paras phage polli
-3 1.89052619325769e-05 4.1730710852917e-07 6.08275112327918e-15 1.84815732372276e-05 0
-2.93939393939394 3.56438438474656e-05 8.49209219629547e-07 6.14336190892885e-14 4.68174979028277e-05 1.2899682372983e-17
-2.87878787878788 6.57326288461799e-05 1.68262431160996e-06 5.73471918930687e-13 0.000111722254539184 0
-2.81818181818182 0.000117726119391915 3.28661800617333e-06 4.85484592397149e-12 0.000251249756301318 2.22278406432352e-17
-2.75757575757576 0.000206989998464503 6.24499389551446e-06 3.7264185230011e-11 0.000532712361948586 4.244005933897e-17
-2.6969696969697 0.000353573312316058 1.15911624046782e-05 2.59671905244532e-10 0.0010653918154061 5.07173365206987e-16
-2.63636363636364 0.000591073975784377 2.11223737077765e-05 1.64458679455391e-09 0.00201539810394867 3.164010113593e-15
-2.57575757575758 0.000963425751428071 3.74904554911985e-05 9.47525244645419e-09 0.00359850365569218 1.81212086319969e-14
-2.51515151515152 0.00153302906968309 6.51323960233193e-05 4.97027803818803e-08 0.00606788744087578 9.77830073957714e-14
-2.45454545454545 0.00238543186090454 0.000110788639553193 2.3754629216471e-07 0.00967638061337686 4.98052293179826e-13
-2.39393939393939 0.00361868424210816 0.000183740520429011 1.03513768839711e-06 0.0146211493226206 2.39493894087018e-12
-2.33333333333333 0.00537952147749926 0.000298598233703129 4.11557743722032e-06 0.0209895085705933 1.09026170757583e-11
-2.27272727272727 0.00780268620712705 0.000474299292314304 1.49593095469775e-05 0.0287330898808472 4.82363430343638e-11
-2.21212121212121 0.0110826371273644 0.000735189560954811 4.99472288698523e-05 0.0376969663080308 2.01822815626006e-10
-2.15151515151515 0.0153946765468353 0.00111704402481393 0.00015215588391508 0.0477181824885591 7.989390117398e-10
-2.09090909090909 0.0209361559138729 0.00165748357472308 0.000423512544870255 0.0587414114282131 2.9939001849567e-09
-2.03030303030303 0.0279047059629195 0.00240212089702291 0.00107870782319144 0.0709446344492479 1.06271333536679e-08
-1.96969696969697 0.0364349427567024 0.00341040951413618 0.00251843811076366 0.0847524841696459 3.64272723158122e-08
-1.90909090909091 0.0467100033780269 0.00472839528167481 0.00539986801712809 0.100719671816877 1.18482980490501e-07
-1.84848484848485 0.0587536204863503 0.00640871520103338 0.0106570216574596 0.119304093654116 3.65408597283908e-07
-1.78787878787879 0.0726403066926463 0.0084987349272508 0.0194110158076105 0.140609563162531 1.06930990074944e-06
-1.72727272727273 0.0883011921722255 0.0110124031342139 0.0327345179710533 0.164211373259727 2.97147173681126e-06
-1.66666666666667 0.105644893583117 0.0139542149397725 0.0513063804445048 0.189156475006194 7.92267351387979e-06
-1.60606060606061 0.124515239183715 0.0172904033343544 0.0750935734442566 0.214142855557664 2.01165442516224e-05
-1.54545454545455 0.144664848571566 0.0209436167723883 0.103194827906969 0.237904462378467 4.85502566089748e-05
