p e c
0.937357159362654 0.00102430619821095 1.1782143259036
0.909241034592108 0.0119046551605509 1.09326330633661
0.246985561936262 0.00104294243808901 1.28997312080159
0.184407178271319 0.00354440862163342 1.17640203382375
0.253386917012814 0.00137613334590031 1.16909298118938
0.874237930112583 0.0768907558494891 1.01241119046963
0.942284329641078 0.013751789808858 1.09601558759349
0.963510027784782 0.0816807665815267 1.02984297867102
0.355459243112121 0.0115956590606783 1.08117861348103
0.641451035229544 0.0413598490784427 1.06103871549797
0.113829171082487 0.0029331497055369 1.14558315834473
0.580740039071864 0.00188852269804129 1.21793046175594
0.856447207707536 0.00102268068666299 1.31524917518923
0.617268855341743 0.0123459460205473 1.13909951152475
0.837557204048958 0.00294735427510411 1.17243445186532
0.867421104956163 0.018536523336877 1.11655754644098
0.55769163447439 0.0230934376441908 1.09759457536066
0.626091037885423 0.00145374810229375 1.21130102408544
0.996987387097663 0.142466046030583 1.13015608631247
0.631492342844336 0.00177098176974268 1.16562422062368
0.682219038889607 0.00103998031146068 1.30314477561127
0.756773618857047 0.018650375449276 1.08192357094191
0.136654222655128 0.465404014230448 0.927564874194997
0.854091023997775 0.136107756165695 0.985006269757975
0.897465475816081 0.011155455277964 1.09838198154399
0.809077437159382 0.00148906464157491 1.16828584040638
0.747156997844873 0.00572067621942819 1.14563144795777
0.460859298427832 0.071229380554683 1.01234615566547
0.739624868980016 0.0135557013489996 1.12832899187849
0.0201442355809366 0.0308768168939403 1.17924009687755
0.0320558201092465 0.0374820471813977 1.09224907887347
0.860558215061396 0.00122394935952334 1.17897266365078
0.581463088451008 0.0726709717394016 1.05735038518838
0.229748301598731 0.285199460760197 0.979727591217195
0.9707381005519 0.00293335526637505 1.18554168638608
0.578625297116224 0.0230760131671572 1.07133749943396
0.0101019359589593 0.0751728799897241 1.00378970582832
0.280154051136441 0.0585978782057205 1.03013080808428
0.404388602645044 0.34509782645498 0.954603149475354
0.0315880505499535 0.0560698369812355 1.05433754747557
0.11503321026643 0.0017779889965624 1.15076353986524
0.789165542114314 0.00801490540295255 1.15674412433222
0.677988743712601 0.0561857019918185 1.01794691203389
0.420272119701564 0.0500682406483103 1.0221736216032
0.659288559925819 0.0302978069911253 1.08218508160249
0.901300011717028 0.0892102042189415 1.0202402687463
