type e p c
dispe 0.0511008769762068 0.552737939315536 1.21645375706579
dispe 0.184884627563475 0.512542959163511 1.67481563808547
dispe 0.0469830588898846 0.537418100177541 1.71194763246966
dispe 0.0415059432173842 0.484242399282045 1.21039888888628
dispe 0.127153887480433 0.493091433836181 1.34155436408919
dispe 0.0386655554477988 0.538110608063574 1.97320267798454
dispe 0.0747509675224678 0.470879685456439 1.19597165813642
dispe 0.0397840299452625 0.546270665734536 1.3561160265696
dispe 0.0941512561029085 0.459286542960437 1.32031008469007
dispe 0.0414160677250288 0.49399530465677 1.98018394985437
dispe 0.0439759769910071 0.517810449462466 1.177671106578
dispe 0.100083093073382 0.488816836588318 1.41057507203544
dispe 0.0471380634492374 0.449574583817872 1.15772739064522
dispe 0.0391563215433104 0.460999909372752 1.86266053862171
dispe 0.0786353243143013 0.561681685111439 1.29560151554637
dispe 0.0413176997633284 0.494857729182675 1.98725721414483
dispe 0.0383317352286412 0.548321971688845 1.24834813570891
dispe 0.0390994735944665 0.541574987451135 1.29938715746798
dispe 0.0465849552437306 0.46592722475554 1.16083723063379
dispe 0.156265467616292 0.51090784717947 1.43420866277613
dispe 0.0950756161838705 0.486148546681529 1.29377928494796
dispe 0.0297668534695954 0.492909719872978 1.51659837065422
dispe 0.0416096320036779 0.448375323453571 2.13925472640802
dispe 0.0391263791945586 0.555160372943683 1.17859567895327
dispe 0.0372400460987471 0.43991120488249 1.20022356936404
dispe 0.0485578282141413 0.586555207647867 1.27423076742041
dispe 0.0412222583964254 0.375531085135098 2.58494413402569
dispe 0.0414580136046088 0.466857485457418 1.7255641055558
dispe 0.038848552587835 0.49809476318413 3.15177116314787
dispe 0.148627316153653 0.499678690533514 1.58334630127662
herbi 0.109782100212301 0.517825730081431 1.61179169426464
herbi 0.293573995368014 0.509001404057898 1.55490867922361
herbi 0.0504099857026289 0.455981508605096 1.23340590957285
herbi 0.180075367094716 0.5008484467842 2.18394668954713
herbi 0.212975287708932 0.503472444769059 1.47859094219638
herbi 0.300425515663044 0.495866028424542 2.14320537495651
herbi 0.42998172068373 0.503203947579286 1.9892727202464
herbi 0.0888303610856433 0.480192312411885 1.21433249689409
herbi 0.0598313234530104 0.548385199061905 1.67384928007466
herbi 0.0940216132577897 0.462498011540227 1.35737815107714
herbi 0.224066559906529 0.493206268504914 2.22139701743881
herbi 0.268638435783934 0.511207315046919 1.55944183047146
herbi 0.45869525706969 0.500497950647259 1.83566401986987
herbi 0.339000517771605 0.510622965563178 1.95852877299557
herbi 0.412137266640987 0.497514216324788 2.02678717092393
herbi 0.413976423553027 0.497470911136708 2.02661300144484
herbi 0.411550945260755 0.49851767589435 2.02802682675052
herbi 0.272691075994642 0.508093886770723 1.58543086488678
herbi 0.136732485660546 0.518288648555445 1.57545776813627
herbi 0.127021001392912 0.499599474749271 1.325922565196
herbi 0.400223183380389 0.498580796116944 2.05899311495447
herbi 0.0212987255613239 0.461795218508366 1.7145002363611
herbi 0.0999358916890822 0.454201439594665 1.29822859649676
paras 0.0392654367551755 0.432208449090059 1.20535728289563
paras 0.0445827212520126 0.446250914172156 1.37142936408301
paras 0.0423289662610148 0.470790486074526 1.19908897650673
paras 0.0320431837751545 0.493954727273526 2.0326981379887
paras 0.0503047994466835 0.427627923685126 1.23348856739372
paras 0.0330516751330399 0.556318848542581 1.26461958394927
paras 0.0388888501939174 0.432148105756363 1.29437547778983
paras 0.0402110238180974 0.421991158565617 1.46155010826454
paras 0.0328407039329876 0.60204399868436 3.72963850699785
paras 0.0322534398138113 0.475120739528325 1.29431613334758
paras 0.0396399564428629 0.478826500677156 1.29444503763004
paras 0.0472987199721417 0.438610839821123 1.17183692405352
paras 0.0398373478907664 0.454443921872986 1.46670286109839
paras 0.0765172439609755 0.518132032060792 1.32472464469956
paras 0.0388169319156137 0.447312101463114 1.39387555037969
paras 0.0334367605537794 0.481950901099123 1.2139831542926
paras 0.0402153735625264 0.436844325079118 1.42801025126014
paras 0.0344673768645263 0.387523070371925 2.07590458714596
paras 0.0416299464767058 0.540985149333401 1.32676836307371
paras 0.0315569899866413 0.442446695215205 1.86748666736085
paras 0.0391177443475498 0.439853276081412 1.61530212798054
paras 0.17782012853044 0.521640406894217 1.45220204537221
paras 0.037100350575439 0.480637552995854 1.78881229484602
paras 0.0548112727335719 0.444432799727695 1.19153435922195
paras 0.0353706399573495 0.460305924938472 2.28715538421106
paras 0.0406411824003491 0.461896229043769 1.22681540553156
paras 0.0355060596422638 0.440775532112355 1.22902341183165
paras 0.0439343502173452 0.46545182997599 1.17819012985661
paras 0.050924232024716 0.469064583616897 1.16874071743643
paras 0.0447255728315866 0.487218832229283 1.24382385784649
paras 0.0398431007576222 0.439402008289546 2.39525803036898
paras 0.0343179227423943 0.426397126491289 1.28227156033675
paras 0.0411380219815931 0.521872287453523 2.41163755377654
paras 0.0490750715696468 0.445928419591902 1.189973131703
paras 0.0358002731961836 0.489216250706071 1.20292255343541
paras 0.0431884404187013 0.506003614746351 1.28840822851068
paras 0.0446539321589902 0.442433402676327 1.20798638437329
paras 0.0303768694670392 0.537331451002593 3.09805123151268
paras 0.0439870064451325 0.385203186999464 1.77945118290806
paras 0.0400765985934277 0.401408485116534 1.93051992829543
paras 0.0446004070401165 0.509956755213327 1.17511023288714
paras 0.0377448662876587 0.475041804998932 1.1710564792131
paras 0.0416719310149061 0.507683966008735 1.83082897054264
paras 0.0644565477588227 0.505061335513978 1.18955022251374
paras 0.0436842207746951 0.48648410203775 1.21608269593386
paras 0.0313833441574969 0.417110368433172 2.4381091736357
paras 0.0280619276626268 0.467716506470563 1.2749668320059
paras 0.0409633720068803 0.520196891309996 1.20249785294714
paras 0.0559579996684209 0.464324531689841 1.16319122683303
paras 0.0436013655818112 0.441414338337452 1.34201942259412
paras 0.0385151327515952 0.562824144925783 1.5395921824702
