px py ex ey cx cy
0.0263157894736842 0 0.00119935394620923 0 0.112883789168469 0
0.0789473684210526 0.19 0.00172521054994204 0.0126666666666667 0.143844988828766 0
0.131578947368421 0.342 0.00248162892283683 0.0126666666666667 0.183298071083244 0
0.184210526315789 0.646 0.00356969884682607 0.0253333333333333 0.233572146909012 0
0.236842105263158 0.684 0.00513483290743755 0.038 0.297635144163132 0
0.289473684210526 1.71 0.00738619982207936 0 0.379269019073225 0
0.342105263157895 1.71 0.0106246783089404 0.076 0.483293023857175 0
0.394736842105263 1.824 0.0152830673265877 0.164666666666667 0.615848211066026 0
0.447368421052632 1.33 0.0219839264886229 0.139333333333333 0.784759970351461 0.057
0.5 1.634 0.0316227766016838 0.202666666666667 1 0.437
0.552631578947368 1.976 0.0454877794700378 0.228 1.27427498570313 1.52
0.605263157894737 1.406 0.0654318912971297 0.430666666666667 1.62377673918872 2.394
0.657894736842105 1.786 0.0941204967268066 0.418 2.06913808111479 2.869
0.710526315789474 1.672 0.135387618002254 0.532 2.63665089873036 1.691
0.763157894736842 0.987999999999999 0.194748303990876 0.709333333333333 3.35981828628378 0.342
0.815789473684211 0.532000000000001 0.280135676119887 0.658666666666666 4.28133239871939 0.171
0.868421052631579 0.418 0.40296113202004 0.975333333333333 5.45559478116852 0.019
0.921052631578947 0.0759999999999999 0.579639395338497 0.722 6.9519279617756 0
0.973684210526316 0.0759999999999999 0.833782223471789 0.988 8.85866790410082 0
